"","Action","Adventure","Animation","Children","Comedy","Crime","Documentary","Drama","Fantasy","Film-Noir","Horror","IMAX","Musical","Mystery","Romance","Sci-Fi","Thriller","War","Western","(no genres listed)"
"3753",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"6037",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"3490",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"94896",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"86014",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2786",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3030",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83332",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1029",0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"2784",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
