"","Action","Adventure","Animation","Children","Comedy","Crime","Documentary","Drama","Fantasy","Film-Noir","Horror","IMAX","Musical","Mystery","Romance","Sci-Fi","Thriller","War","Western","(no genres listed)"
"6",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"10",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"39",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"50",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"95",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"110",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"112",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"153",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"165",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"185",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"186",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"208",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"231",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"260",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"292",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"293",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"296",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"315",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"316",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"318",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"339",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"344",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"356",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"357",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"364",0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"367",1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"370",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"374",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"377",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"380",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"434",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"466",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"475",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"480",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"500",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"527",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"539",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"541",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"588",0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"589",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"590",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"592",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"593",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"595",0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
"597",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"608",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"628",0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"648",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"733",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"736",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"778",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"780",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"832",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"858",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"912",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"919",0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"924",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"1035",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"1036",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1084",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1089",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1097",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"1101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1127",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"1183",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"1196",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1198",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1210",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1214",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"1220",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1233",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"1240",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"1246",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1270",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1278",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1291",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1324",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1357",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"1387",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1393",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"1396",1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"1485",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1517",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1527",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
